"","order_id","created_at","assigned_at","picked_at","delivered_at","status","customer_id","city","lat","lon","distance_km","service_level","payment_method","items_count","order_value","delivery_fee","courier_id","note"
"14",14,"2024-04-20 20:11:41","2024-04-20 20:34:41","2024-04-20 21:20:41","2024-04-20 22:08:41","delivered",1831,"Kyiv",50.440096,30.285691,20,"Express","COD",6,"2127","120",39,"sharp"
"15",15,"2024-04-16 18:14:42","2024-04-16 19:00:42","2024-04-16 19:34:42","16.04.2024 20:05","delivered",1982,"Lviv",49.846033,24.068529,26,"Standart","Card",6,"1361","92",75,"sharp"
"16",16,"08.04.2024 04:56",NA,NA,NA,"created",1670,"Kyiv",50.370124,30.407175,9.26,"Express","Card",6,"4000","87.78",48,NA
"17",17,"2024-04-26 10:03:51","2024-04-26 10:27:51",NA,NA,"assigned",2074,"Kyiv",50.454611,30.654201,11.47,"Express","Card",5,"5138","94.41",168,NA
"18",18,"2024-04-21 15:43:49","2024-04-21 16:08:49",NA,NA,"assigned",1168,"Kyiv",50.352783,30.639946,19.41,"Express","COD",5,"2346","118,23",127,NA
"19",19,"2024-04-22 12:02:32","2024-04-22 12:37:32",NA,NA,"assigned",3491,"Lviv",49.812549,24.084479,8.36,"Standart","Card",2,"4085","56.72",141,NA
"20",20,"2024-04-03 06:49:55",NA,NA,NA,"created",181,"Kyiv",50.400229,30.346149,17.92,"Standart","Card",2,"2445","75,84",101,"sharp"
"21",21,"2024-04-30 00:42:00","2024-04-30 01:00:00",NA,NA,"assigned",1827,"Kyiv",50.463219,30.434382,1.2,"Express","Card",3,"4975","63.6",67,NA
"22",22,"2024-04-25 08:42:39","2024-04-25 09:33:39","2024-04-25 09:52:39","25.04.2024 10:37","delivered",3921,"Lviv",49.857537,24.080114,21.75,"Standart","COD",6,"1565","83.5",128,NA
"23",23,"2024-04-17 08:05:03","2024-04-17 08:48:03","2024-04-17 09:31:03",NA,"picked",408,"Kyiv",50.334475,30.570887,14.54,"Express","Card",4,"326","103.62",180,NA
"24",24,"2024-04-13 22:03:05","2024-04-13 22:28:05",NA,NA,"canceled",2436,"Lviv",49.826301,24.088588,8.41,"Standart","Card",1,"3929","56.82",15,NA
"25",25,"2024-04-07 20:01:55","2024-04-07 20:23:55",NA,NA,"canceled",2628,"Lviv",49.83329,24.011424,16.06,"Standart","Card",1,"1 990","72.12",24,"fragile"
"26",26,"2024-04-20 11:05:50","2024-04-20 11:39:50",NA,NA,"canceled",3145,"Odesa",46.471029,30.712395,111.68,"Express","Card",1,"141","101.88",18,NA
"27",27,"2024-04-29 12:58:51","2024-04-29 13:11:51","2024-04-29 13:41:51","2024-04-29 14:01:51","delivered",2759,"Odesa",46.481909,30.757823,14.78,"Express","Card",2,"711","104.34",123,"perishable"
"28",28,"2024-04-30 05:16:06","2024-04-30 06:09:06",NA,NA,"assigned",1038,"Odesa",46.485773,30.734667,23.11,"Express","COD",5,"2336","129.33",167,"liquid"
"29",29,"2024-04-23 22:37:54",NA,NA,NA,"created",3029,"Odesa",46.538937,30.712975,11.87,"Standart","Card",2,"3293","63.74",101,NA
"30",30,"2024-04-15 05:51:46",NA,NA,NA,"created",392,"Odesa",46.557118,30.711974,19.39,"Standart","Card",2,"152","78.78",86,"liquid"
"31",31,"2024-04-02 10:39:59",NA,"2024-04-02 11:45:59","2024-04-02 12:27:59","delivered",2667,"Kyiv",50.303023,30.381238,21.57,"Standart","COD",4,"2327","83.14",12,"  liquid"
"32",32,"2024-04-27 00:14:51","2024-04-27 00:57:51",NA,NA,"assigned",1281,"Odesa",46.385722,30.704056,12.95,"Standart","COD",6,"225","65.9",43,"sharp"
"33",33,"2024-04-22 12:42:58",NA,NA,NA,"canceled",1482,"Kyiv",50.349698,30.574909,13.18,"Standart","Card",1,"1385","66.36",111,"fragile"
"34",34,"2024-04-27 18:23:30","27.04.2024 19:11","2024-04-27 19:57:30",NA,"picked",2285,"Odesa",46.344538,30.683401,11.44,"Express","Card",4,"5577","0",121,NA
"35",35,"2024-04-21 10:54:05","21.04.2024 11:54","2024-04-21 12:10:05",NA,"picked",1677,"Kyiv",50.420727,30.54929,1.46,"Standart","Card",6,"1 667","42.92",131,"perishable"
"36",36,"2024-04-14 17:30:02","2024-04-14 18:19:02",NA,NA,"assigned",3146,"Kyiv",50.316585,30.306086,12.67,"Standart","COD",6,"4745","65.34",121,"fragile"
"37",37,"2024-04-09 19:25:59","2024-04-09 20:24:59","2024-04-09 21:01:59",NA,"picked",19,"Odesa",46.459377,30.714714,14.42,"Express","COD",4,"734","103.26",96,NA
"38",38,"2024-04-27 12:51:37",NA,NA,NA,"canceled",2078,"Lviv",49.864005,23.928898,18.33,"Standart","Card",5,"3278","76.66",135,"sharp"
"39",39,"2024-04-27 02:35:49","2024-04-27 02:45:49","2024-04-27 03:00:49","2024-04-27 03:28:49","delivered",1818,"Lviv",49.796483,24.07169,9.22,"Express","COD",6,"1 715","87.66",198,NA
"40",40,"2024-04-11 01:40:46","11.04.2024 01:56","2024-04-11 02:26:46","2024-04-11 02:42:46","delivered",3614,"Kyiv",50.314064,30.574856,9.16,"Standart","Card",6,"3387","58.32",140,NA
"41",41,"2024-04-02 11:46:54",NA,"2024-04-02 12:48:54",NA,"picked",1713,"Odesa",46.491992,30.661959,13.09,"Standart","COD",1,"599","66,18",149,"  liquid"
"42",42,"2024-04-13 11:47:36",NA,NA,NA,"created",2411,"Odesa",46.542308,30.658338,24.04,"Express","Card",2,"5246","132.12",155,NA
"43",43,"2024-04-12 07:13:11","12.04.2024 07:58","2024-04-12 08:16:11",NA,"picked",331,"Odesa",46.392127,30.738786,14.95,"Standart","COD",6,"3619","69.9",152,NA
"44",44,"2024-04-02 23:31:32",NA,NA,NA,"assigned",2358,"Kyiv",50.281634,30.457791,18.52,"Express","Card",3,"2543","115,56",161,NA
"45",45,"2024-04-13 19:49:01","13.04.2024 20:08","2024-04-13 20:20:01","2024-04-13 21:02:01","delivered",901,"Odesa",46.33754,30.70451,1.19,"Standart","COD",5,"5968","42.38",10,"perishable"
"46",46,"2024-04-24 06:54:17","2024-04-24 07:08:17",NA,NA,"canceled",70,"Kyiv",50.419349,30.661701,8.55,"Express","Card",4,"3464","85.65",5,NA
"47",47,"2024-04-28 21:05:02","2024-04-28 21:37:02","2024-04-28 22:07:02",NA,"picked",2258,"Kyiv",50.402869,30.295746,7.57,"Express","COD",4,"1601","82,71",27,"sharp"
"48",48,"2024-04-09 19:56:25","2024-04-09 20:54:25","2024-04-09 21:23:25","2024-04-09 21:47:25","delivered",221,"Odesa",46.366225,30.748822,6.2,"Express","COD",3,"2827","-78.6",54,NA
"49",49,"2024-04-06 19:09:22","2024-04-06 19:24:22","2024-04-06 20:11:22",NA,"picked",671,"Odesa",46.465928,30.645274,0.78,"Standart","Card",3,"5 154","41.56",137,"sharp"
"50",50,"2024-04-24 19:32:32","2024-04-24 20:18:32","24.04.2024 20:59","2024-04-24 21:54:32","delivered",697,"Lviv",49.865035,24.00969,15.28,"Standart","Card",6,"565","70.56",81,NA
"51",51,"2024-04-29 02:24:27","2024-04-29 02:53:27","2024-04-29 03:48:27",NA,"picked",103,"Lviv",49.847814,23.940623,8.31,"Express","COD",6,"5967","84.93",84,NA
"52",52,"2024-04-17 07:04:37",NA,NA,NA,"canceled",1202,"Lviv",49.880788,24.012799,5.38,"Standart","cod  ",6,"910","50.76",33,NA
"53",83,"2024-04-30 09:59:31","2024-04-30 10:33:31","2024-04-30 11:10:31","2024-04-30 11:39:31","delivered",1206,"LVIV",49.859806,23.983504,7.69,"Standart","Card  ",4,"5701","55.38",152,NA
"54",54,"2024-04-10 23:03:35","2024-04-10 23:41:35",NA,NA,"canceled",448,"Kyiv",50.283448,30.413608,9.27,"Standart","Card",6,"265","58,54",56,NA
"55",55,"2024-04-26 10:55:41","2024-04-26 11:36:41","26.04.2024 12:12",NA,"picked",1043,"Kyiv",50.41933,30.353753,4.81,"Express","Card",6,"2841","74.43",15,"sharp"
"56",56,"2024-04-20 02:11:01","2024-04-20 02:57:01",NA,NA,"assigned",2588,"Kyiv",50.469565,30.485286,24.04,"Express","Card",3,"2613","132.12",36,NA
"57",57,"2024-04-24 23:42:18","2024-04-25 00:06:18",NA,NA,"assigned",2921,"Odesa",46.418034,30.67345,21.93,"Express","COD",1,"3656","125.79",50,NA
"58",305,"2024-04-20 13:20:42","2024-04-20 13:40:42",NA,NA,"canceled",3903,"Odesa",46.374899,30.760011,11.66,"Express","Card",1,"665","94.98",71,NA
"59",59,"2024-04-18 13:50:05",NA,NA,NA,"canceled",143,"Kyiv",50.438818,30.580496,20,"Standart","Card",2,"4973","80",192,"perishable"
"60",60,"2024-04-25 14:37:40","2024-04-25 15:12:40","2024-04-25 16:01:40","2024-04-25 16:45:40","delivered",1890,"Odesa",46.398416,30.743528,6.73,"Standart","Card",2,"1332","53,46",60,NA
"61",61,"2024-04-08 12:26:58","2024-04-08 12:48:58",NA,NA,"canceled",1471,"Odesa",46.50319,30.700489,5.67,"Standart","Card",6,"1665","51.34",157,NA
"62",62,"29.04.2024 13:38","2024-04-29 14:17:19","2024-04-29 15:13:19","29.04.2024 15:33","delivered",3373,"Lviv",49.873923,23.910102,17.68,"  EXPRESS","COD",4,"3 202","113.04",189,NA
"63",63,"2024-04-17 13:58:33",NA,NA,NA,"canceled",3164,"Kyiv",50.328824,30.404818,1.12,"Express","Card",1,"4262","-63.36",48,NA
"64",64,"2024-04-26 08:15:22","26.04.2024 08:31","2024-04-26 09:07:22","2024-04-26 09:36:22","delivered",2270,"Kyiv",50.410633,30.381079,3.22,"Standart","COD",2,"1722","46.44",53,"liquid"
"65",65,"15.04.2024 03:38","2024-04-15 04:38:37","2024-04-15 05:24:37",NA,"picked",1299,"Odesa",46.443016,30.707673,13.69,"Express","COD",1,"4794","101.07",49,"liquid"
"66",66,"2024-04-04 12:42:04","2024-04-04 13:21:04",NA,NA,"assigned",2392,"Odesa",46.42987,30.631526,11.86,"Standart","Card",1,"3295","63.72",144,NA
"67",67,"2024-04-06 04:30:04","06.04.2024 05:04","2024-04-06 05:33:04",NA,"picked",3487,"Lviv",49.784355,23.970976,6.77,"Express","Card",1,"4504","80.31",149,NA
"68",68,"2024-04-14 14:34:59","2024-04-14 15:31:59","14.04.2024 15:57","2024-04-14 16:21:59","delivered",1987,"Lviv",49.813833,23.954033,15.18,"Express","Card",2,"2173","105.54",161,"fragile"
"69",69,"2024-04-05 14:26:08",NA,NA,NA,"created",3642,"Kyiv",50.301864,30.530725,13.61,"Standart","COD",1,"2036","67,22",123,NA
"70",70,"03.04.2024 23:59",NA,NA,NA,"canceled",2637,"Lviv",49.825926,23.925773,14.25,"Express","COD",6,"1379","102.75",25,NA
"71",71,"2024-04-19 07:32:28","19.04.2024 08:07",NA,NA,"assigned",3031,"Odesa",46.555737,30.636914,18.97,"Standart","Card",1,"2842","77.94",77,NA
"72",343,"2024-04-29 16:19:53","29.04.2024 16:32",NA,"2024-04-29 17:41:53","delivered",2434,"Lviv",49.839825,23.911713,22.89,"Express","Card",1,"3608","128.67",127,"fragile"
"73",73,"2024-04-22 05:04:29","2024-04-22 05:48:29",NA,NA,"assigned",2454,"Kyiv",50.303038,30.423014,14.42,"  EXPRESS","Card",3,"2965","103,26",61,"fragile"
"74",74,"2024-04-15 09:15:54","2024-04-15 09:30:54","2024-04-15 10:26:54","2024-04-15 11:23:54","delivered",553,"Lviv",49.77394,24.015124,7.04,"Standart","Card",4,"5993","54.08",34,"liquid"
"75",75,"17.04.2024 13:29","2024-04-17 13:57:01",NA,NA,"canceled",3609,"Kyiv",50.403799,30.684443,24.14,"Standart","COD",4,"2237","88.28",1,NA
"76",76,"2024-04-03 21:24:41",NA,NA,NA,"created",2693,"Odesa",46.46069,30.651868,23.99,"Standart","Card",3,"4656","87.98",154,NA
"77",77,"2024-04-19 07:53:49","19.04.2024 08:31",NA,NA,"assigned",3604,"Odesa",46.453563,30.742909,13.15,"Express","Card",1,"2109","99.45",197,NA
"78",78,"2024-04-11 19:13:11","2024-04-11 20:07:11","11.04.2024 20:31",NA,"picked",459,"Odesa",46.325194,30.726566,13.93,"Express","Card",4,"2718","101.79",194,NA
"79",79,"2024-04-12 13:06:07","2024-04-12 13:44:07",NA,"2024-04-12 14:45:07","delivered",2338,"Lviv",49.798839,24.021325,2.74,"Express","Card",2,"1887","68.22",192,"sharp"
"80",80,"2024-04-06 02:35:25","2024-04-06 03:30:25","2024-04-06 04:30:25",NA,"picked",278,"Kyiv",50.305268,30.474115,19.28,"Express","Card",5,"4664","117.84",144,"perishable"
"81",81,"03.04.2024 18:37",NA,NA,NA,"assigned",1715,"Kyiv",50.533751,30.740279,12.19,"Standart","COD",1,"1427","64.38",171,NA
"82",50,"2024-04-24 19:32:32","2024-04-24 20:18:32","2024-04-24 20:59:32","2024-04-24 21:54:32","delivered",697,"Lviv",49.865035,24.00969,15.28,"  STANDART","Card",6,"565","70.56",81,NA
"83",83,"2024-04-30 09:59:31","2024-04-30 10:33:31","2024-04-30 11:10:31","2024-04-30 11:39:31","delivered",1206,"Lviv",49.859806,23.983504,7.69,"Standart","Card",4,"5701","55.38",152,NA
"84",84,"28.04.2024 00:18","2024-04-28 00:37:50",NA,NA,"canceled",8,"Kyiv",50.38035,30.644974,25.61,"Standart","Card",6,"315","91.22",146,NA
"85",85,"2024-04-18 20:53:14",NA,NA,NA,"created",1962,"Odesa",46.492323,30.667992,23.7,"Standart","COD",4,"962","87.4",62,"perishable"
"86",86,"2024-04-28 22:41:16","2024-04-28 23:39:16",NA,NA,"assigned",3420,"Lviv",49.783769,23.971877,12.33,"Standart","COD",6,"1381","64.66",136," "
"87",87,"2024-04-11 21:43:32",NA,NA,NA,"created",3728,"Odesa",46.40217,30.721275,17.83,"Standart","Card",2,"5017","0",69,"fragile"
"88",88,"2024-04-04 05:32:11","2024-04-04 06:28:11",NA,NA,"assigned",2334,"Kyiv",50.279709,30.617104,9.02,"Express","Card",3,"1099","87.06",32,NA
"89",89,"2024-04-08 22:08:19","08.04.2024 23:01",NA,NA,"assigned",1198,"Kyiv",50.402109,30.55211,16.78,"Express","COD",3,"3 219","110.34",65,"perishable"
"90",90,"2024-04-06 03:15:35",NA,NA,NA,"created",2534,"Kyiv",50.291487,30.682609,14.23,"Express","COD",4,"4253","0,00",76,NA
"91",91,"2024-04-19 08:27:58","2024-04-19 09:08:58",NA,NA,"canceled",3026,"Lviv",49.789969,24.014334,24.54,"Express","COD",5,"2672","133.62",181,NA
"92",92,"2024-04-25 21:04:12","2024-04-25 21:57:12","2024-04-25 22:41:12","2024-04-25 23:35:12","delivered",2007,"Kyiv",50.519889,30.321627,11.91,"  STANDART","COD",5,"2707","63.82",80,NA
"93",93,"2024-04-17 10:50:08","2024-04-17 11:14:08",NA,NA,"assigned",3700,"Lviv",49.833818,24.066245,17.03,"Express","COD",5,"1874","111.09",103,"fragile"
"94",94,"2024-04-20 02:37:15","2024-04-20 03:13:15",NA,NA,"canceled",3946,"Lviv",49.860971,24.088231,25.18,"  STANDART","Card",3,"1 576","0",112,"fragile"
"95",95,"22.04.2024 10:22","2024-04-22 11:10:56",NA,NA,"assigned",151,"Kyiv",50.29919,30.582121,7.87,"Express","COD",6,"931","83.61",26,NA
"96",96,"2024-04-08 15:26:29",NA,NA,NA,"created",1280,"ODESA  ",46.451763,30.644082,16.83,"Standart","Card",5,"5116","73.66",81,"sharp"
"97",97,"2024-04-22 11:02:22",NA,NA,NA,"created",2617,"Kyiv",50.50134,30.717506,11.43,"Standart","COD",2,"5210","62.86",22,NA
"98",98,"2024-04-14 12:16:07","2024-04-14 13:03:07","2024-04-14 13:32:07",NA,"picked",2688,"Odesa",46.369124,30.721411,1.81,"Standart","Card",4,"1678","43.62",111,NA
"99",99,"2024-04-14 22:00:55","2024-04-14 22:18:55",NA,NA,"assigned",3800,"Odesa",46.427641,30.626837,15.94,"Express","COD",2,"4849","107.82",121,"fragile"
"100",100,"2024-04-30 08:15:03","2024-04-30 08:26:03","2024-04-30 09:15:03",NA,"picked",1917,"Kyiv",50.38985,30.751334,20.12,"Standart","Card",5,"2290","80.24",183,"  liquid"
"101",101,"2024-04-18 17:37:32","18.04.2024 18:22",NA,NA,"assigned",3651,"Kyiv",50.555214,30.490753,19.7,"Express","Card",2,"3569","119.1",164,NA
"102",102,"2024-04-03 08:28:36",NA,NA,NA,"created",2236,"Lviv",49.7706,24.036789,19.9,"Express","COD",6,"3502","119.7",133,"fragile"
"103",103,"2024-04-24 05:26:46","2024-04-24 06:04:46",NA,NA,"canceled",3687,"Odesa",46.343279,30.744027,17.53,"Express","Card",4,"5493","112.59",152,NA
"104",104,"2024-04-12 10:49:52",NA,NA,NA,"created",3849,"Lviv",49.819988,24.092558,13.57,"Express","Card",4,"5776","100,71",115,"liquid"
"105",105,"2024-04-25 04:20:47","2024-04-25 04:48:47","2024-04-25 05:11:47",NA,"picked",2051,"Odesa",46.336334,30.758243,4.8,"Standart","cod  ",3,"2 913","49.6",83,NA
"106",262,"2024-04-28 17:25:00","2024-04-28 18:24:00",NA,NA,"canceled",3833,"Kyiv",50.48853,30.580172,11.29,"  EXPRESS","COD",1,"2438","93.87",51,NA
"107",107,"2024-04-24 23:18:31",NA,NA,NA,"created",2524,"Kyiv",50.396106,30.485613,6.55,"Standart","COD",3,"4839","53.1",72,"fragile"
"108",108,"2024-04-09 19:53:34","2024-04-09 20:04:34",NA,NA,"canceled",384,"Lviv",49.816893,23.95811,13.99,"Standart","Card",6,"5796","67.98",191,NA
"109",109,"2024-04-02 03:52:17",NA,"2024-04-02 05:16:17","2024-04-02 06:07:17","delivered",2893,"Odesa",46.516042,30.684192,0.88,"Standart","COD",2,"4071","41.76",190,"perishable"
"110",110,"2024-04-21 17:34:02","2024-04-21 17:58:02",NA,NA,"canceled",399,"Kyiv",50.529003,30.62526,9.66,"Express","Card",1,"1260","88.98",154,NA
"111",111,"2024-04-23 14:03:13",NA,NA,NA,"created",176,"Lviv",49.80998,23.913104,1.99,"Express","Card",6,"238","65.97",118,NA
"112",112,"22.04.2024 04:44","2024-04-22 05:20:40",NA,NA,"canceled",328,"Kyiv",50.349827,30.73344,2.11,"Express","Card",4,"980","66.33",57,NA
"113",113,"2024-04-27 07:51:46",NA,NA,NA,"created",1560,"Odesa",46.485153,30.730171,16.66,"Express","COD",3,"3774","109,98",74,NA
"114",114,"2024-04-11 01:53:30",NA,NA,NA,"canceled",339,"Odesa",46.360516,30.744666,24.52,"Express","COD",3,"3501","133,56",62,"perishable"
"115",115,"2024-04-04 10:45:57","04.04.2024 11:07",NA,NA,"canceled",1439,"Odesa",46.406638,30.715927,1.18,"Standart","COD",2,"191","42.36",141,"sharp"
"116",116,"08.04.2024 22:33","2024-04-08 23:07:18","2024-04-08 23:48:18",NA,"picked",1745,"Kyiv",50.554506,30.340433,0.45,"Standart","Card",1,"253","40.9",141,NA
"117",117,"2024-04-30 23:35:00","2024-05-01 00:08:00","2024-05-01 00:44:00","2024-05-01 01:42:00","delivered",2697,"Odesa",46.479503,30.701093,25.05,"Standart","COD",3,"1764","90.1",10,"sharp"
"118",118,"2024-04-29 07:09:32",NA,NA,NA,"created",3198,"Kyiv",50.336434,30.333977,24.94,"Standart","COD",6,"3223","89.88",123,NA
"119",119,"2024-04-08 11:42:53",NA,NA,NA,"created",141,"Lviv",49.816845,24.021927,1.37,"Standart","Card",4,"5336","42.74",122,NA
"120",120,"2024-04-20 10:44:19",NA,NA,NA,"created",3130,"Kyiv",50.474915,30.72284,3.89,"Standart","COD",3,"3006","47.78",194,"sharp"
"121",121,"2024-04-04 09:03:24","2024-04-04 09:33:24","2024-04-04 09:57:24","2024-04-04 10:54:24","delivered",3967,"Odesa",46.419873,30.752748,4.65,"Standart","Card",4,"2001","49.3",185,NA
"122",122,"2024-04-19 22:33:42","2024-04-19 23:03:42","2024-04-19 23:49:42","2024-04-20 00:19:42","delivered",2834,"Lviv",49.795326,24.039373,9.76,"Express","Card",3,"494","89.28",180,NA
"123",123,"11.04.2024 03:35","2024-04-11 04:13:27",NA,NA,"canceled",967,"Lviv",49.880425,24.047076,10.64,"Standart","Card",5,"5837","61,28",51,"perishable"
"124",124,"2024-04-20 14:53:01",NA,NA,NA,"created",2610,"Kyiv",50.292475,30.67386,4.41,"Standart","COD",3,"474","48.82",47,"liquid"
"125",125,"2024-04-09 13:48:39","09.04.2024 14:19","2024-04-09 15:10:39","2024-04-09 15:57:39","delivered",3302,"Kyiv",50.296972,30.740291,13.89,"Standart","COD",1,"4884","67.78",145,"perishable"
"126",126,"2024-04-03 12:03:04",NA,"03.04.2024 13:05",NA,"picked",2380,"Lviv",49.8727,23.981524,20.75,"Standart","Card",4,"4884","81,50",83,NA
"127",127,"2024-04-03 01:03:58",NA,"2024-04-03 02:11:58",NA,"picked",849,"Lviv",49.884124,24.071892,2.21,"Express","Card",2,"2 763","66.63",109,"sharp"
"128",128,"2024-04-20 14:54:08","2024-04-20 15:51:08","2024-04-20 16:45:08",NA,"picked",152,"Lviv",49.86865,24.004394,19.06,"Express","COD",1,"5662","117.18",168,"  liquid"
"129",129,"2024-04-04 13:10:50","2024-04-04 14:04:50",NA,NA,"assigned",435,"Kyiv",50.291327,30.363866,15.39,"Express","Card",1,"1804","106.17",155,"sharp"
"130",130,"2024-04-01 19:35:14",NA,NA,NA,"canceled",1963,"Kyiv",50.316309,30.622477,4.03,"Express","Card",6,"1956","72.09",81,NA
"131",131,"08.04.2024 00:10","2024-04-08 01:03:35",NA,NA,"assigned",3434,"Lviv",49.780005,24.04996,23.81,"Express","Card",2,"4811","131.43",117,"liquid"
"132",132,"02.04.2024 00:58",NA,"2024-04-02 02:10:00",NA,"picked",1551,"Lviv",49.784725,24.029218,4.05,"Standart","Card",4,"5120","48.1",6,NA
"133",133,"2024-04-08 09:45:10","2024-04-08 10:07:10",NA,NA,"picked",1481,"Odesa",46.410797,30.731286,20.65,"Express","Card",6,"505","121.95",16,"liquid"
"134",134,"2024-04-17 17:33:08","2024-04-17 17:53:08","2024-04-17 18:43:08",NA,"picked",2297,"Odesa",46.526702,30.739477,22.7,"Standart","COD",6,"1 026","85.4",199,NA
"135",135,"2024-04-08 04:38:23",NA,NA,NA,"created",2415,"Kyiv",50.303272,30.307092,15.37,"Express","COD",3,"819","106,11",134,NA
"136",136,"2024-04-24 10:37:28","2024-04-24 11:23:28",NA,"2024-04-24 12:36:28","delivered",999,"Kyiv",50.394075,30.296665,9.36,"Express","COD",3,"543","88.08",159,"perishable"
"137",137,"2024-04-25 07:33:48","2024-04-25 08:26:48",NA,NA,"canceled",878,"Odesa",46.517744,30.698143,0.63,"Standart","Card",5,"831","41.26",171,"perishable"
"138",138,"2024-04-04 03:27:31","04.04.2024 03:59",NA,NA,"assigned",2655,"Kyiv",50.367713,30.506401,3.47,"Standart","COD",5,"1540","46.94",4,"perishable"
"139",139,"2024-04-10 03:39:05","2024-04-10 04:33:05",NA,NA,"canceled",2743,"Odesa",46.3402,30.678498,11.53,"Express","Card",1,"3412","94.59",107,NA
"140",140,"2024-04-07 23:18:33","2024-04-08 00:06:33",NA,NA,"delivered",935,"Kyiv",50.318839,30.424911,11.96,"Standart","COD",3,"3597","63,92",113,"fragile"
"141",141,"2024-04-03 22:25:24",NA,NA,NA,"created",1397,"Odesa",46.400864,30.725302,14.23,"Express","Card",5,"164","102.69",184,"sharp"
"142",142,"02.04.2024 07:06",NA,NA,NA,"assigned",2269,"Odesa",46.553284,30.76004,1.4,"Standart","Card",4,"3983","42.8",135,"perishable"
"143",143,"2024-04-14 15:34:30","2024-04-14 15:53:30",NA,NA,"assigned",1547,"Kyiv",50.464312,30.305889,14.86,"Standart","COD",2,"1286","69.72",96,"liquid"
"144",144,"2024-04-12 05:39:59",NA,NA,NA,"created",3760,"Lviv",49.831191,23.988677,10.32,"Standart","COD",4,"5330","60.64",182,NA
"145",145,"2024-04-25 08:51:01","25.04.2024 09:32",NA,NA,"canceled",1142,"Kyiv",50.482557,30.371171,24.63,"Standart","COD",5,"3 740","89.26",164,NA
"146",146,"2024-04-12 16:31:39","2024-04-12 16:56:39","2024-04-12 17:35:39","2024-04-12 18:18:39","delivered",2113,"Kyiv",50.260214,30.609643,16.14,"Express","COD",1,"2254","108.42",139,"perishable"
"147",147,"2024-04-16 04:53:45","2024-04-16 05:16:45","2024-04-16 05:26:45",NA,"picked",3732,"Lviv",49.802653,23.956011,2.57,"Standart","COD",1,"4510","45.14",131,"perishable"
"148",296,"08.04.2024 08:35","2024-04-08 09:17:40",NA,NA,"assigned",3446,"Lviv",49.797347,24.053617,8.67,"  Standart","Card",4,"163","57.34",147,"perishable"
"149",149,"2024-04-24 10:25:08","24.04.2024 10:50","2024-04-24 11:04:08",NA,"picked",1762,"Odesa",46.495548,30.714809,23.7,"Standart","COD",3,"5611","87,40",118,"fragile"
"150",150,"2024-04-08 02:15:17","2024-04-08 02:26:17","2024-04-08 03:17:17","2024-04-08 03:53:17","delivered",3016,"Kyiv",50.292328,30.556574,25.13,"Express","COD",4,"1 606","135.39",162,"fragile"
